Bin_ID,Date,Space,waste_category,weight
BA_01,2024-03-21T00:00:00Z,Baeckeranlage,paper,1.3
BA_01,2024-03-21T00:00:00Z,Baeckeranlage,plastic,3.3
BA_01,2024-03-21T00:00:00Z,Baeckeranlage,glass,17.1
BA_01,2024-03-21T00:00:00Z,Baeckeranlage,metal,4.3
BA_01,2024-03-21T00:00:00Z,Baeckeranlage,organic,3.4
BA_01,2024-03-21T00:00:00Z,Baeckeranlage,other,0.6
BA_02,2024-03-21T00:00:00Z,Baeckeranlage,paper,1
BA_02,2024-03-21T00:00:00Z,Baeckeranlage,plastic,2.5
BA_02,2024-03-21T00:00:00Z,Baeckeranlage,glass,18.3
BA_02,2024-03-21T00:00:00Z,Baeckeranlage,metal,3.5
BA_02,2024-03-21T00:00:00Z,Baeckeranlage,organic,2.7
BA_02,2024-03-21T00:00:00Z,Baeckeranlage,other,2
BA_03,2024-03-21T00:00:00Z,Baeckeranlage,paper,1.1
BA_03,2024-03-21T00:00:00Z,Baeckeranlage,plastic,5.2
BA_03,2024-03-21T00:00:00Z,Baeckeranlage,glass,16.6
BA_03,2024-03-21T00:00:00Z,Baeckeranlage,metal,2.2
BA_03,2024-03-21T00:00:00Z,Baeckeranlage,organic,4.2
BA_03,2024-03-21T00:00:00Z,Baeckeranlage,other,0.7
BA_04,2024-03-21T00:00:00Z,Baeckeranlage,paper,2.3
BA_04,2024-03-21T00:00:00Z,Baeckeranlage,plastic,2.6
BA_04,2024-03-21T00:00:00Z,Baeckeranlage,glass,19.1
BA_04,2024-03-21T00:00:00Z,Baeckeranlage,metal,0.4
BA_04,2024-03-21T00:00:00Z,Baeckeranlage,organic,3.2
BA_04,2024-03-21T00:00:00Z,Baeckeranlage,other,2.4
BA_05,2024-03-21T00:00:00Z,Baeckeranlage,paper,0.6
BA_05,2024-03-21T00:00:00Z,Baeckeranlage,plastic,3.3
BA_05,2024-03-21T00:00:00Z,Baeckeranlage,glass,15.7
BA_05,2024-03-21T00:00:00Z,Baeckeranlage,metal,2.5
BA_05,2024-03-21T00:00:00Z,Baeckeranlage,organic,5
BA_05,2024-03-21T00:00:00Z,Baeckeranlage,other,2.9
LW_01,2024-03-21T00:00:00Z,Landiwiese,paper,3.1
LW_01,2024-03-21T00:00:00Z,Landiwiese,plastic,3.3
LW_01,2024-03-21T00:00:00Z,Landiwiese,glass,10.1
LW_01,2024-03-21T00:00:00Z,Landiwiese,metal,4.3
LW_01,2024-03-21T00:00:00Z,Landiwiese,organic,8.6
LW_01,2024-03-21T00:00:00Z,Landiwiese,other,0.6
LW_02,2024-03-21T00:00:00Z,Landiwiese,paper,2.8
LW_02,2024-03-21T00:00:00Z,Landiwiese,plastic,2.5
LW_02,2024-03-21T00:00:00Z,Landiwiese,glass,8.1
LW_02,2024-03-21T00:00:00Z,Landiwiese,metal,3.5
LW_02,2024-03-21T00:00:00Z,Landiwiese,organic,11.4
LW_02,2024-03-21T00:00:00Z,Landiwiese,other,1.7
LW_03,2024-03-21T00:00:00Z,Landiwiese,paper,4.1
LW_03,2024-03-21T00:00:00Z,Landiwiese,plastic,5.2
LW_03,2024-03-21T00:00:00Z,Landiwiese,glass,8.3
LW_03,2024-03-21T00:00:00Z,Landiwiese,metal,2.2
LW_03,2024-03-21T00:00:00Z,Landiwiese,organic,9.5
LW_03,2024-03-21T00:00:00Z,Landiwiese,other,0.7
LW_04,2024-03-21T00:00:00Z,Landiwiese,paper,3.2
LW_04,2024-03-21T00:00:00Z,Landiwiese,plastic,4.8
LW_04,2024-03-21T00:00:00Z,Landiwiese,glass,11.2
LW_04,2024-03-21T00:00:00Z,Landiwiese,metal,2.5
LW_04,2024-03-21T00:00:00Z,Landiwiese,organic,7.7
LW_04,2024-03-21T00:00:00Z,Landiwiese,other,0.6
LW_05,2024-03-21T00:00:00Z,Landiwiese,paper,2.6
LW_05,2024-03-21T00:00:00Z,Landiwiese,plastic,3.7
LW_05,2024-03-21T00:00:00Z,Landiwiese,glass,9.7
LW_05,2024-03-21T00:00:00Z,Landiwiese,metal,8.3
LW_05,2024-03-21T00:00:00Z,Landiwiese,organic,5.5
LW_05,2024-03-21T00:00:00Z,Landiwiese,other,0.2
BA_01,2024-04-04T00:00:00Z,Baeckeranlage,paper,3
BA_01,2024-04-04T00:00:00Z,Baeckeranlage,plastic,4
BA_01,2024-04-04T00:00:00Z,Baeckeranlage,glass,12.5
BA_01,2024-04-04T00:00:00Z,Baeckeranlage,metal,2.7
BA_01,2024-04-04T00:00:00Z,Baeckeranlage,organic,7.7
BA_01,2024-04-04T00:00:00Z,Baeckeranlage,other,0.0999999999999997
BA_02,2024-04-04T00:00:00Z,Baeckeranlage,paper,4
BA_02,2024-04-04T00:00:00Z,Baeckeranlage,plastic,4.6
BA_02,2024-04-04T00:00:00Z,Baeckeranlage,glass,12.5
BA_02,2024-04-04T00:00:00Z,Baeckeranlage,metal,2.6
BA_02,2024-04-04T00:00:00Z,Baeckeranlage,organic,5.5
BA_02,2024-04-04T00:00:00Z,Baeckeranlage,other,0.8
BA_03,2024-04-04T00:00:00Z,Baeckeranlage,paper,4.6
BA_03,2024-04-04T00:00:00Z,Baeckeranlage,plastic,3.2
BA_03,2024-04-04T00:00:00Z,Baeckeranlage,glass,13.3
BA_03,2024-04-04T00:00:00Z,Baeckeranlage,metal,3.1
BA_03,2024-04-04T00:00:00Z,Baeckeranlage,organic,5.2
BA_03,2024-04-04T00:00:00Z,Baeckeranlage,other,0.6
BA_04,2024-04-04T00:00:00Z,Baeckeranlage,paper,4.9
BA_04,2024-04-04T00:00:00Z,Baeckeranlage,plastic,6.4
BA_04,2024-04-04T00:00:00Z,Baeckeranlage,glass,11
BA_04,2024-04-04T00:00:00Z,Baeckeranlage,metal,2.2
BA_04,2024-04-04T00:00:00Z,Baeckeranlage,organic,5.2
BA_04,2024-04-04T00:00:00Z,Baeckeranlage,other,0.3
BA_05,2024-04-04T00:00:00Z,Baeckeranlage,paper,3.8
BA_05,2024-04-04T00:00:00Z,Baeckeranlage,plastic,5.7
BA_05,2024-04-04T00:00:00Z,Baeckeranlage,glass,10.8
BA_05,2024-04-04T00:00:00Z,Baeckeranlage,metal,1
BA_05,2024-04-04T00:00:00Z,Baeckeranlage,organic,7.5
BA_05,2024-04-04T00:00:00Z,Baeckeranlage,other,1.2
LW_01,2024-04-04T00:00:00Z,Landiwiese,paper,3.1
LW_01,2024-04-04T00:00:00Z,Landiwiese,plastic,3.3
LW_01,2024-04-04T00:00:00Z,Landiwiese,glass,10.1
LW_01,2024-04-04T00:00:00Z,Landiwiese,metal,4.3
LW_01,2024-04-04T00:00:00Z,Landiwiese,organic,8.6
LW_01,2024-04-04T00:00:00Z,Landiwiese,other,0.6
LW_02,2024-04-04T00:00:00Z,Landiwiese,paper,2.8
LW_02,2024-04-04T00:00:00Z,Landiwiese,plastic,2.5
LW_02,2024-04-04T00:00:00Z,Landiwiese,glass,8.1
LW_02,2024-04-04T00:00:00Z,Landiwiese,metal,3.5
LW_02,2024-04-04T00:00:00Z,Landiwiese,organic,11.4
LW_02,2024-04-04T00:00:00Z,Landiwiese,other,1.7
LW_03,2024-04-04T00:00:00Z,Landiwiese,paper,4.1
LW_03,2024-04-04T00:00:00Z,Landiwiese,plastic,5.2
LW_03,2024-04-04T00:00:00Z,Landiwiese,glass,8.3
LW_03,2024-04-04T00:00:00Z,Landiwiese,metal,2.2
LW_03,2024-04-04T00:00:00Z,Landiwiese,organic,9.5
LW_03,2024-04-04T00:00:00Z,Landiwiese,other,0.7
LW_04,2024-04-04T00:00:00Z,Landiwiese,paper,3.2
LW_04,2024-04-04T00:00:00Z,Landiwiese,plastic,4.8
LW_04,2024-04-04T00:00:00Z,Landiwiese,glass,11.2
LW_04,2024-04-04T00:00:00Z,Landiwiese,metal,2.5
LW_04,2024-04-04T00:00:00Z,Landiwiese,organic,7.7
LW_04,2024-04-04T00:00:00Z,Landiwiese,other,0.6
LW_05,2024-04-04T00:00:00Z,Landiwiese,paper,2.6
LW_05,2024-04-04T00:00:00Z,Landiwiese,plastic,3.7
LW_05,2024-04-04T00:00:00Z,Landiwiese,glass,9.7
LW_05,2024-04-04T00:00:00Z,Landiwiese,metal,8.3
LW_05,2024-04-04T00:00:00Z,Landiwiese,organic,5.5
LW_05,2024-04-04T00:00:00Z,Landiwiese,other,0.2
NA,NA,NA,paper,NA
NA,NA,NA,plastic,NA
NA,NA,NA,glass,NA
NA,NA,NA,metal,NA
NA,NA,NA,organic,NA
NA,NA,NA,other,NA
